O que é ENGENHARIA DE RESERV ATÓRIOS I 3º ANO – 2º SEMESTRE 2025 - 2026 1 Docente?	Prof. Dr. Geraldo A. R. Ramos 1Geraldo Ramos, BSc, MSc, PhD
Resuma: ENGENHARIA DE RESERV ATÓRIOS I 3º ANO – 2º SEMESTRE 2025 - 2026 1 Docente: Prof.	ENGENHARIA DE RESERV ATÓRIOS I 3º ANO – 2º SEMESTRE 2025 - 2026 1 Docente: Prof. Dr. Geraldo A. R. Ramos 1Geraldo Ramos, BSc, MSc, PhD
Resuma: Apresentação e breves considerações 1.	Apresentação e breves considerações 1. Missão, Visão e Valores do ISPTEC 2. Apresentação e breves considerações 3. Missão, Visão e Valores da UC 4. Objectivos da Unidade Curricular (UC) 5. Estratégias Metodológicas 6. Resultados esperados 7. Contribuição para os Objectivos do Programa 8. Contribuição para componente profissional 9. Unidades Didácticas 10. Tipo de Avaliação 11.Tarefa 2 Geraldo Ramos, BSc, MSc, PhD
Resuma: Missão, Visão e Valores da Instituição Injection |Missão  Formar profissionais qualificados e comprometidos com o desenvolvimento sustentável de Angola, por meio da geração e disseminação do conhecimento.	Missão, Visão e Valores da Instituição Injection |Missão  Formar profissionais qualificados e comprometidos com o desenvolvimento sustentável de Angola, por meio da geração e disseminação do conhecimento. |Visão  Ser reconhecida como a Instituição de Referência em Angola. |Valores  Compromisso com a instituição:  Com a Missão, Visão e Valores da Instituição  Ética e Justiça:  Respeito aos valores morais e cívicos que norteiam a conduta humana, adoptando o princípio da imparcialidade e da igualdade de oportunidade  Excelência e Meritocracia:  Buscar excelência em todas as realizações, reconhecendo o desempenho  Autonomia e Iniciativa:  Capacidade de tomar decisões independentes e desenvolver acções para o alcance dos objectivos da instituição  Estímulo ao Pensamento Crítico e Reflexivo:  Capacidade de análise crítica, de resolver problemas e de tomar as decisões certas 3 Geraldo Ramos, BSc, MSc, PhD
Resuma: Apresentação e breves considerações da UC Injection Nome da Unidade Curricular (UC): Engenharia de Reservatórios I Carga Horária Total: 4 Unidades de créditos, 60H Semestral e 4H semanais.	Apresentação e breves considerações da UC Injection Nome da Unidade Curricular (UC): Engenharia de Reservatórios I Carga Horária Total: 4 Unidades de créditos, 60H Semestral e 4H semanais. Docente da UC: Geraldo André Raposo Ramos Contacto: geraldo.ramos@isptec.co.ao LIVRO DE REFERÊNCIA:  ROSA, A. J.; CARVALHO, R. D. S.; XAVIER, J. A. D. Engenharia de Reservatórios de Petróleo. 1ª. ed. Rio de Janeiro: Interciência, 2006, 808 p..  Dake, L. P . (1983). Fundamentals of reservoir engineering (Vol. 8). Elsevier.  Ramos, G. Indústria do Petróleo para Não-Enegeiros. Editora DOIS03, 2023 4 Geraldo Ramos, BSc, MSc, PhD
Resuma: Apresentação e breves considerações da UC Injection OUTRAS REFERÊNCIAS (BIBLIOGRAFIA)  AHMED, T.	Apresentação e breves considerações da UC Injection OUTRAS REFERÊNCIAS (BIBLIOGRAFIA)  AHMED, T. H. Reservoir Engineering Handbook. 3rd. ed. Burlington, MA, USA: Gulf Professional Publishing, Elsevier, 2010. 1376 p.  4 - Ramos, G. A. R. (2016). Aplicação de VBA Nos Fundamentos da Engenharia de Petróleos. Mayamba Editora.  5 - Ramos, G. A. R. (2020). Indústria do Gás Natural. Engenharia de Produção do Gás Natural., volume 2. Editora Dois.  6 - Guo, B. (2011). Petroleum production engineering, a computer-assisted approach. Elsevier.  7- MCCAIN, W. D. The Properties of Petroleum Fluids. 2nd. ed. Tulsa: PennWell Books, 1990. 548 p.. 5 Geraldo Ramos, BSc, MSc, PhD
Resuma: Apresentação e breves considerações da UC Injection HORÁRIO 6 Geraldo Ramos, BSc, MSc, PhD	Apresentação e breves considerações da UC Injection HORÁRIO 6 Geraldo Ramos, BSc, MSc, PhD
Resuma: Missão, Visão e Valores da Unidade Curricular Injection |Missão  Formar engenheiros de petróleo com competências fundamentais sobre o comportamento dos reservatórios de hidrocarbonetos, integrando propriedades de rochas e fluidos, princípios de fluxo em meios porosos, métodos de estimativa de reservas e técnicas de análise de desempenho de reservatórios, de modo a desenvolver competências para a avaliação técnica e a gestão eficiente de campos petrolíferos.	Missão, Visão e Valores da Unidade Curricular Injection |Missão  Formar engenheiros de petróleo com competências fundamentais sobre o comportamento dos reservatórios de hidrocarbonetos, integrando propriedades de rochas e fluidos, princípios de fluxo em meios porosos, métodos de estimativa de reservas e técnicas de análise de desempenho de reservatórios, de modo a desenvolver competências para a avaliação técnica e a gestão eficiente de campos petrolíferos. |Visão  No final do semestre a unidade curricular vai permitir aos estudantes o desenvolvimento de habilidades para aplicar conhecimentos de matemática, ciências e de engenharia necessários para conduzir experimentos, analisar interpretar dados, identificar, formular e resolver problemas de engenharia de reservatórios. |Valores  Excelência Acadêmica – compromisso com o rigor científico e a qualidade do ensino.  Inovação e Tecnologia – incentivo ao uso de ferramentas modernas de modelagem, análise e simulação de reservatórios.  Sustentabilidade – promoção de práticas que valorizem o uso racional dos recursos energéticos e a proteção ambiental.  Ética e Responsabilidade – actuação com integridade, segurança e respeito às normas técnicas e sociais.  Integração Teoria–Prática – valorização da aplicação prática dos conhecimentos para resolução de problemas reais da indústria.  Trabalho Colaborativo – estímulo à cooperação interdisciplinar e ao trabalho em equipa.  Compromisso com o Desenvolvimento Nacional – contribuição para a formação de profissionais preparados para responder aos desafios estratégicos da indústria petrolífera em Angola e no mundo. 7 Geraldo Ramos, BSc, MSc, PhD
Resuma: Missão, Visão e Valores da Unidade Curricular Injection |Missão  Formar engenheiros de petróleo com competências fundamentais sobre o comportamento dos reservatórios de hidrocarbonetos, integrando propriedades de rochas e fluidos, princípios de fluxo em meios porosos, métodos de estimativa de reservas e técnicas de análise de desempenho de reservatórios, de modo a desenvolver competências para a avaliação técnica e a gestão eficiente de campos petrolíferos.	Missão, Visão e Valores da Unidade Curricular Injection |Missão  Formar engenheiros de petróleo com competências fundamentais sobre o comportamento dos reservatórios de hidrocarbonetos, integrando propriedades de rochas e fluidos, princípios de fluxo em meios porosos, métodos de estimativa de reservas e técnicas de análise de desempenho de reservatórios, de modo a desenvolver competências para a avaliação técnica e a gestão eficiente de campos petrolíferos. |Visão  No final do semestre a unidade curricular vai permitir aos estudantes o desenvolvimento de habilidades para aplicar conhecimentos de matemática, ciências e de engenharia necessários para conduzir experimentos, analisar interpretar dados, identificar, formular e resolver problemas de engenharia de reservatórios. |Valores  Excelência Acadêmica – compromisso com o rigor científico e a qualidade do ensino.  Inovação e Tecnologia – incentivo ao uso de ferramentas modernas de modelagem, análise e simulação de reservatórios.  Sustentabilidade – promoção de práticas que valorizem o uso racional dos recursos energéticos e a proteção ambiental.  Ética e Responsabilidade – actuação com integridade, segurança e respeito às normas técnicas e sociais.  Integração Teoria–Prática – valorização da aplicação prática dos conhecimentos para resolução de problemas reais da indústria.  Trabalho Colaborativo – estímulo à cooperação interdisciplinar e ao trabalho em equipa.  Compromisso com o Desenvolvimento Nacional – contribuição para a formação de profissionais preparados para responder aos desafios estratégicos da indústria petrolífera em Angola e no mundo. 8 Geraldo Ramos, BSc, MSc, PhD
Resuma: Objectivos da Unidade Curricular  Avaliar o comportamento e o desempenho de reservatórios de hidrocarbonetos, por meio do estudo integrado das propriedades das rochas e dos fluidos, dos princípios de fluxo em meios porosos e da aplicação de métodos de engenharia de reservatórios, incluindo cálculo volumétrico, balanço de materiais, análise de testes de pressão, análise de influxo de água e curvas de declínio, visando a capacitação para a estimativa de reservas, previsão do desempenho produtivo e apoio à tomada de decisão na gestão técnica e económica de campos petrolíferos.	Objectivos da Unidade Curricular  Avaliar o comportamento e o desempenho de reservatórios de hidrocarbonetos, por meio do estudo integrado das propriedades das rochas e dos fluidos, dos princípios de fluxo em meios porosos e da aplicação de métodos de engenharia de reservatórios, incluindo cálculo volumétrico, balanço de materiais, análise de testes de pressão, análise de influxo de água e curvas de declínio, visando a capacitação para a estimativa de reservas, previsão do desempenho produtivo e apoio à tomada de decisão na gestão técnica e económica de campos petrolíferos.  Descrever os princípios fundamentais da Engenharia de Reservatórios e o seu papel na caracterização e gestão de campos petrolíferos.  Caracterizar as propriedades físicas e termodinâmicas dos fluidos de reservatório, incluindo comportamento PVT e sua influência no desempenho produtivo.  Analisar as propriedades petrofísicas das rochas reservatório, nomeadamente porosidade, permeabilidade, saturação e compressibilidade.  Integrar dados geológicos, petrofísicos e de engenharia para a realização de cálculos volumétricos e estimativa de hidrocarbonetos originalmente presentes no reservatório.  Aplicar a equação de balanço de materiais na análise do desempenho de reservatórios e na identificação dos mecanismos de produção.  Explicar os princípios do fluxo de fluidos em meios porosos e sua relação com o comportamento produtivo dos reservatórios.  Interpretar resultados de testes de pressão transiente em poços para a determinação de parâmetros característicos do reservatório.  Examinar os mecanismos de influxo natural de água e o seu impacto no desempenho produtivo do reservatório.  Utilizar métodos de análise de curvas de declínio e ajuste de histórico de produção para projeção do desempenho futuro do reservatório.  Estimar indicadores técnicos e económicos associados ao desenvolvimento e exploração de um campo petrolífero. |Geral |Específico 9 Geraldo Ramos, BSc, MSc, PhD
O que é Tipos de Aulas |Tipos de Aulas  Aulas Teóricas (Conferências)?	apresentação de conceitos e fundamentos.  Aulas Teórico-Práticas (Seminários): integração imediata entre teoria e exercícios.  Aulas Práticas: resolução de problemas e aplicação de modelos.  Laboratório Computacional: simulações com softwares de reservatórios.  Estudos de Caso: análise de cenários reais da indústria.  Trabalho Independente: leituras dirigidas e exercícios individuais.  Orientação Tutorial: apoio personalizado para dúvidas e trabalhos.  Visitas Técnicas (quando possível): contato direto com a prática industrial. 10 Geraldo Ramos, BSc, MSc, PhD
