Company Name,NIF,Status,Service,Niche,Type
"2césJ - Comercio e Servicos, Lda",5000222879,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
A. J. Castilho Prestação de Serviços (SU). LDA,5000577898,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
ABYLOS ANGOLA,5001329847,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
ACPE- ANGOLA LOGISTICAS LDA,5417217379,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"AFRICA HR ANGOLA,LDA",541736671,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"ALAMEDA FANCY - COMERCIO E SERVIÇOS, LDA",5001310283,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
ALCOFEKA,002870457CA036,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"AMM FUTURO -CONSTRUÇÃO CIVIL E CONSULTORIA, (SU), LDA",5001942204,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"ANDIAMO, LIMITADA",5417462063,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"ANGLOBAL-COMÉRCIO, INDUSTRIA E SERVIÇO, S.A",511101553,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
ANGOLA  ENVIRONMENT TECHNOLOGY,5417125962,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"ANT-ANGOLA-PRESTAÇAO DE SERVIÇOS, LDA",5001512161,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"ARLINDO ALFA CONSULTORIA E GESTÃO, LDA",5000652830,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"ARMISANTOS-CONSULTORES, LDA",5000539112,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"ARMP - Soluções, Comércio e Serviços (SU), Lda.",5417305421,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
ARTUR ELISABETH DOMINGOS,000183828BO014,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"ASL - Ascending Services, Lda",5417157910,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"ASTRACA - SOLUÇÕES AMBIENTAIS, LDA",5417201553,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"ATAMI COMÉRCIO E INDUSTRIA, LDA.",5417471585,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
"Abyarin Soluções - Comércio Geral e Prestação de Serviços, (SU), Lda",5000784990,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
Acelera Angola Prestação de Serviço Lda,5417536857,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
Agnos Humbe Investments S.A.,5001063820,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
Akiu Lda,5480000691,Preferência,"1. Consultoria, Assessoria e Auditoria",Administração e Gestão de Projectos,SCA
